epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,5,,,1.2255117893218994,1.2255117893218994
0,5,1.0054388046264648,,,
1,11,,,1.2043077945709229,1.2043077945709229
1,11,0.9966399073600769,,,
2,17,,,1.1846929788589478,1.1846929788589478
2,17,0.9954246878623962,,,
3,23,,,1.1770985126495361,1.1770985126495361
3,23,0.9924341440200806,,,
4,29,,,1.1683343648910522,1.1683343648910522
4,29,0.9924758672714233,,,
5,35,,,1.1714636087417603,1.1714636087417603
5,35,0.9789139032363892,,,
6,41,,,1.1605650186538696,1.1605650186538696
6,41,0.9719849824905396,,,
7,47,,,1.1272028684616089,1.1272028684616089
7,47,0.9602904319763184,,,
8,49,,0.8106048107147217,,
8,53,,,1.1400187015533447,1.1400187015533447
8,53,0.9524717330932617,,,
9,59,,,1.0706455707550049,1.0706455707550049
9,59,0.9724704623222351,,,
10,65,,,1.1100125312805176,1.1100125312805176
10,65,0.980562150478363,,,
11,71,,,1.2080023288726807,1.2080023288726807
11,71,0.95832759141922,,,
12,77,,,1.1341238021850586,1.1341238021850586
12,77,0.972499668598175,,,
13,83,,,1.0999456644058228,1.0999456644058228
13,83,0.9481123685836792,,,
14,89,,,1.1016381978988647,1.1016381978988647
14,89,0.9405081272125244,,,
15,95,,,1.1283693313598633,1.1283693313598633
15,95,0.9339674711227417,,,
16,99,,0.8550861477851868,,
16,101,,,1.0947071313858032,1.0947071313858032
16,101,0.9294849038124084,,,
17,107,,,1.0979065895080566,1.0979065895080566
17,107,0.9170322418212891,,,
18,113,,,1.1362205743789673,1.1362205743789673
18,113,0.9136077165603638,,,
19,119,,,1.0996243953704834,1.0996243953704834
19,119,0.9153789281845093,,,
20,125,,,1.0751936435699463,1.0751936435699463
20,125,0.9136570692062378,,,
21,131,,,1.042930006980896,1.042930006980896
21,131,0.8944157361984253,,,
22,137,,,1.0238362550735474,1.0238362550735474
22,137,0.8852294087409973,,,
23,143,,,1.0767884254455566,1.0767884254455566
23,143,0.881614089012146,,,
24,149,,0.47919654846191406,,
24,149,,,1.0697168111801147,1.0697168111801147
24,149,0.8862990140914917,,,
25,155,,,1.0526341199874878,1.0526341199874878
25,155,0.8654211759567261,,,
26,161,,,1.0716228485107422,1.0716228485107422
26,161,0.8636032342910767,,,
27,167,,,1.045708179473877,1.045708179473877
27,167,0.857083797454834,,,
28,173,,,1.086709976196289,1.086709976196289
28,173,0.8528403639793396,,,
29,179,,,1.0701760053634644,1.0701760053634644
29,179,0.878556489944458,,,
30,185,,,1.0586131811141968,1.0586131811141968
30,185,0.9040602445602417,,,
31,191,,,1.1062651872634888,1.1062651872634888
31,191,0.8634123802185059,,,
32,197,,,1.0612387657165527,1.0612387657165527
32,197,0.8637450933456421,,,
33,199,,1.2762960195541382,,
33,203,,,1.0269815921783447,1.0269815921783447
33,203,0.8601617813110352,,,
34,209,,,1.0349359512329102,1.0349359512329102
34,209,0.8621640205383301,,,
35,215,,,1.0473291873931885,1.0473291873931885
35,215,0.8444297313690186,,,
36,221,,,1.0425997972488403,1.0425997972488403
36,221,0.8441001176834106,,,
37,227,,,1.0419442653656006,1.0419442653656006
37,227,0.8391305804252625,,,
38,233,,,1.0560495853424072,1.0560497045516968
38,233,0.8352344632148743,,,
39,239,,,1.1075596809387207,1.1075596809387207
39,239,0.8301922678947449,,,
40,245,,,1.0810770988464355,1.0810770988464355
40,245,0.8339393138885498,,,
41,249,,1.1311755180358887,,
41,251,,,1.0680791139602661,1.0680791139602661
41,251,0.8267710208892822,,,
42,257,,,1.0685365200042725,1.0685365200042725
42,257,0.823485791683197,,,
43,263,,,1.0571719408035278,1.0571719408035278
43,263,0.8225830793380737,,,
44,269,,,1.049094557762146,1.049094557762146
44,269,0.819075345993042,,,
45,275,,,1.0453214645385742,1.0453214645385742
45,275,0.8157674074172974,,,
46,281,,,1.0594279766082764,1.0594279766082764
46,281,0.815850019454956,,,
47,287,,,1.06350839138031,1.06350839138031
47,287,0.8103055357933044,,,
48,293,,,1.0765986442565918,1.0765986442565918
48,293,0.8081284165382385,,,
49,299,,1.1010435819625854,,
49,299,,,1.0831022262573242,1.0831022262573242
49,299,0.8059868216514587,,,
