id,compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender_new,weight_change_percent,weight_change_significance,ITP,pubmed_id,notes,last_modified
1731,Glucomannan Hydrolysate,Drosophila melanogaster,B18,0.25% w/v,,,20.2,S,,NA,Male,,NA,No,30252027,,2024-10-12 09:39:44
1732,Glucomannan Hydrolysate,Drosophila melanogaster,B18,0.25% w/v,,,14.88,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:39:34
1734,Glucomannan Hydrolysate,Drosophila melanogaster,Canton-S,0.25% w/v,,,17.66,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:39:22
1733,Glucomannan Hydrolysate,Drosophila melanogaster,Oregon-R,0.25% w/v,,,11.7,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:39:06
1735,Glucomannan Hydrolysate,Drosophila melanogaster,DGRP-21,0.25% w/v,,,13.4,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:38:47
1736,Glucomannan Hydrolysate,Drosophila melanogaster,DGRP-38,0.25% w/v,,,10.1,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:38:36
1737,Glucomannan Hydrolysate,Drosophila melanogaster,DGRP-40,0.25% w/v,,,4.6,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:38:24
1738,Glucomannan Hydrolysate,Drosophila melanogaster,DGRP-85,0.25% w/v,,,10.0,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:38:09
1739,Glucomannan Hydrolysate,Drosophila melanogaster,DGRP-136,0.25% w/v,,,7.3,S,,NA,Female,,NA,No,30252027,,2024-10-12 09:37:37
226,EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,-12.9,S,,NA,Unknown,,NA,No,12521609,Lifespan assay conducted on solid medium. EUK-8 treatment has been reported to shorten life-span in the house fly at concetrations greater than 0.5 mM (PMID:12031907).,2024-10-07 15:17:17
223,EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,-33.1,S,,NA,Unknown,,NA,No,12521609,Lifespan assay conducted on solid medium. EUK-8 treatment has been reported to shorten life-span in the house fly at concetrations greater than 0.5 mM (PMID:12031907).,2024-10-07 15:17:07
4111,Sodium thiosulfate,Mus musculus,UM-HET3,10000 ppm food,6 months,until death,-1.0,NS,0.0,NS,Male,-3.0,NS,Yes,38753230,,2024-08-23 00:18:17
4110,Sodium thiosulfate,Mus musculus,UM-HET3,10000 ppm food,6 months,until death,5.0,NS,4.0,NS,Male,2.0,NS,Yes,38753230,,2024-08-23 00:17:46
4109,16-alpha-hydroxyestradiol,Mus musculus,UM-HET3,5 ppm food,12 months,until death,-7.0,S,-5.0,NS,Female,-35.0,S,Yes,38753230,,2024-08-23 00:11:34
4108,16-alpha-hydroxyestradiol,Mus musculus,UM-HET3,5 ppm food,12 months,until death,15.0,S,5.0,S,Male,-29.0,S,Yes,38753230,,2024-08-23 00:11:01
4107,Nebivolol,Mus musculus,UM-HET3,60 ppm food,6 months,until death,-5.0,S,-5.0,NS,Female,-6.0,NS,Yes,38753230,,2024-08-22 23:57:31
4106,Nebivolol,Mus musculus,UM-HET3,60 ppm food,6 months,until death,-3.0,NS,-1.0,NS,Male,-2.0,NS,Yes,38753230,,2024-08-22 23:57:00
4105,Hydralazine,Mus musculus,UM-HET3,30 ppm food,16 months,until death,-2.0,NS,1.0,NS,Female,5.0,NS,Yes,38753230,,2024-08-22 23:56:11
4104,Hydralazine,Mus musculus,UM-HET3,30 ppm food,16 months,until death,4.0,NS,-3.0,NS,Male,8.0,NS,Yes,38753230,,2024-08-22 23:55:36
4103,Hydralazine,Mus musculus,UM-HET3,30 ppm food,6 months,until death,-2.0,NS,-6.0,NS,Female,-2.0,NS,Yes,38753230,,2024-08-22 23:55:03
4102,Hydralazine,Mus musculus,UM-HET3,30 ppm food,6 months,until death,5.0,NS,1.0,NS,Male,0.0,NS,Yes,38753230,,2024-08-22 23:54:25
4101,"2,4-dinitrophenol",Mus musculus,UM-HET3,3 ppm food,6 months,until death,-4.0,NS,0.0,NS,Female,5.0,NS,Yes,38753230,,2024-08-22 23:53:38
4100,"2,4-dinitrophenol",Mus musculus,UM-HET3,3 ppm food,6 months,until death,4.0,NS,-1.0,NS,Male,0.0,NS,Yes,38753230,,2024-08-22 23:53:08
4099,Canagliflozin,Mus musculus,UM-HET3,180 ppm food,6 months,until death,-1.0,NS,4.0,NS,Female,,NA,Yes,38753230,,2024-08-22 23:51:51
4098,Canagliflozin,Mus musculus,UM-HET3,180 ppm food,6 months,until death,9.0,S,5.0,NS,Male,,NA,Yes,38753230,,2024-08-22 23:51:16
4097,Canagliflozin,Mus musculus,UM-HET3,180 ppm food,16 months,until death,-6.0,S,-8.0,NS,Female,-14.0,S,Yes,38753230,,2024-08-22 23:50:25
4096,Canagliflozin,Mus musculus,UM-HET3,180 ppm food,16 months,until death,14.0,S,4.0,S,Male,-9.0,S,Yes,38753230,,2024-08-22 23:49:47
4095,Alpha-ketoglutarate,Mus musculus,UM-HET3,20000 ppm food,18 months,until death,1.0,NS,-5.0,NS,Female,8.0,NS,Yes,38753230,,2024-08-22 23:48:29
4094,Alpha-ketoglutarate,Mus musculus,UM-HET3,20000 ppm food,18 months,until death,3.0,NS,-3.0,NS,Male,0.0,NS,Yes,38753230,,2024-08-22 23:47:33
3863,N-acetyl-L-cysteine,Mus musculus,UM-HET3,5000 ppm water (250 ppm/day bodyweight),7 months,until death,,NA,,S,Male,-25.0,NA,No,20819793,,2024-08-17 19:05:12
3865,N-acetyl-L-cysteine,Mus musculus,UM-HET3,5000 ppm water (333 ppm/day bodyweight),7 months,until death,0.0,NS,0.0,NS,Female,-18.0,NA,No,20819793,,2024-08-17 19:04:58
4093,X203 (anti-IL-11),Mus musculus,C57BL/6 J,40 ppm bodyweight monthly intraperitoneal injection,17.2 months,until death,25.0,S,,NA,Female,,NA,No,39020175,,2024-07-24 14:43:34
4092,X203 (anti-IL-11),Mus musculus,C57BL/6 J,40 ppm bodyweight monthly intraperitoneal injection,17.2 months,until death,22.0,S,,NA,Male,,NA,No,39020175,,2024-07-24 14:42:53
861,Resveratrol,Daphnia pulex,,3 µM,,,-32.3,S,,NA,Unknown,,NA,No,24133070,Food concentrated at 120000 cells per mL.,2024-07-02 12:54:37
860,Resveratrol,Daphnia pulex,,0.3 µM,,,-6.5,NS,,NA,Unknown,,NA,No,24133070,Food concentrated at 120000 cells per mL.,2024-07-02 12:54:31
862,Resveratrol,Daphnia pulex,,3 µM,,,0.0,NS,,NA,Unknown,,NA,No,24133070,Food concentrated at 200000 cells per mL.,2024-07-02 12:54:26
868,Resveratrol,Daphnia pulex,,0.3 µM,,,0.0,NS,,NA,Unknown,,NA,No,24133070,Food concentrated at 200000 cells per mL.,2024-07-02 12:54:18
102,Vitamin E,Philodina acuticornis,,concentration of 10^ -4,,,9.2,NS,0.0,NA,Unknown,,NA,No,7428854,The vitamin E may be first ingested by the Paramecia which are later preyed upon by the rotifers.,2024-07-02 12:52:51
3682,N-acetyl-L-cysteine,Drosophila melanogaster,,1 mg/ml,,,3.8,S,,NA,Female,,NA,No,31115735,,2024-07-02 12:51:08
4073,Pineal gland extract,Mus musculus,C3H/Sn,0.5 mg subcutaneous injection 5 days monthly,3.5 months,until death,31.0,S,14.0,NA,Female,,NA,No,6752596,,2024-06-20 20:40:14
4091,Pineal gland extract,Mus musculus,SHR,0.1 mg subcutaneous injection 5 consecutive days monthly,12 months,until death,3.0,NA,-3.0,NA,Female,,NA,No,2682058,,2024-06-20 20:38:16
4090,Pineal gland extract,Mus musculus,SHR,0.1 mg subcutaneous injection 5 consecutive days monthly,3.5 months,until death,14.0,NA,-2.0,NA,Female,,NA,No,2682058,,2024-06-20 20:37:50
4089,Thymus extract,Mus musculus,SHR,0.1 mg subcutaneous injection 5 consecutive days monthly,12 months,until death,0.0,NA,-6.0,NA,Female,,NA,No,2682058,,2024-06-20 20:37:17
4088,Thymus extract,Mus musculus,SHR,0.1 mg subcutaneous injection 5 consecutive days monthly,3.5 months,until death,0.0,NA,3.0,NA,Female,,NA,No,2682058,,2024-06-20 20:36:47
4087,Lovaza,Mus musculus,B6C3F1,4400 ppm food,12 months,until death,-10.0,NS,,NA,Male,,NA,No,24816553,Mixture of eicosapentaenoic acid ethyl ester and docosahexaenoic acidethyl ester from fish oil,2024-06-20 19:39:13
4086,Krill oil,Mus musculus,B6C3F1,1170 ppm food,12 months,until death,-5.0,NS,,NA,Male,,NA,No,24816553,,2024-06-20 19:38:29
4085,Vigconic 28,Mus musculus,C57BL/6J,5000 ppm food,9 months,until death,7.0,NS,,NA,Male,,NA,No,20370440,a Yang-invigorating Chinese herbal formula,2024-06-20 19:21:09
4084,Vigconic 28,Mus musculus,C57BL/6J,5000 ppm food,9 months,until death,14.0,S,,NA,Male,,NA,No,20370440,a Yang-invigorating Chinese herbal formula,2024-06-20 19:20:50
4083,Vigconic 28,Mus musculus,C57BL/6J,500 ppm food,9 months,until death,9.0,S,,NA,Female,,NA,No,20370440,a Yang-invigorating Chinese herbal formula,2024-06-20 19:20:14
4082,Vigconic 28,Mus musculus,C57BL/6J,500 ppm food,9 months,until death,14.0,S,,NA,Male,,NA,No,20370440,a Yang-invigorating Chinese herbal formula,2024-06-20 19:19:54
4081,Royal Jelly,Mus musculus,C3H/HeJ,500 ppm food (60 ppm bodyweight),2 months,until death,24.0,S,0.0,NS,Male,,NA,No,12954483,a honey bee secretion that is used in the nutrition of larvae and adult queens,2024-06-20 19:13:34
4080,Royal Jelly,Mus musculus,C3H/HeJ,50 ppm food (6 ppm bodyweight),2 months,until death,26.0,S,0.0,NS,Male,,NA,No,12954483,a honey bee secretion that is used in the nutrition of larvae and adult queens,2024-06-20 19:13:00
4079,Royal Jelly,Mus musculus,C3H/HeJ,5 ppm food (0.6 ppm bodyweight),2 months,until death,-9.0,NS,0.0,NS,Male,,NA,No,12954483,a honey bee secretion that is used in the nutrition of larvae and adult queens,2024-06-20 19:12:29
4077,Sodium borate,Mus musculus,C57BL/6J,4.3 ppm water plus 31.1 ppm food,26 month,until death,-3.0,NS,,NA,Male,,NA,No,7889879,"Sodium borate is a generic name for any salt of sodium with an anion consisting of boron and oxygen, and possibly hydrogen, or any hydrate thereof",2024-06-20 18:54:10
4078,Sodium borate,Mus musculus,C57BL/6J,21.6 ppm water plus 31.1 ppm food,26 months,until death,1.0,NS,,NA,Male,,NA,No,7889879,"Sodium borate is a generic name for any salt of sodium with an anion consisting of boron and oxygen, and possibly hydrogen, or any hydrate thereof",2024-06-20 18:54:05
4076,Blackcurrant extract,Mus musculus,LACA,220000 ppm food,1.1 month,until death,4.0,NS,4.0,S,Female,,NA,No,7140862,,2024-06-20 18:47:03
4075,Blackcurrant extract,Mus musculus,LACA,220000 ppm food,1.1 month,until death,1.0,NS,8.0,NS,Male,,NA,No,7140862,,2024-06-20 18:46:41
4074,Anterior hypothalamus extract,Mus musculus,C3H/Sn,0.5 mg subcutaneous injection 5 days per month,3.5 months,until death,-7.0,NS,-9.0,NA,Female,,NA,No,6752596,,2024-06-20 18:33:25
4072,Thymus extract,Mus musculus,C3H/Sn,0.5 mg subcutaneous injection 5 days per month,3.5 months,until death,28.0,S,11.0,NA,Female,,NA,No,6752596,,2024-06-20 18:30:59
3449,Wortmannin,Drosophila melanogaster,Canton-S,200 μM,,,-5.41,NS,,NA,Male,,NA,No,33008901,,2024-06-20 17:11:33
3577,Vincristine sulfate,Drosophila melanogaster,Canton-S,20 μM,,,-8.36,S,,NA,Female,,NA,No,33008901,,2024-06-20 17:09:56
1558,Ursolic  acid,Caenorhabditis elegans,N2,25 µM,,,32.48,S,,NA,Unknown,,NA,No,27773812,The lifespan assay was performed at 20 °C. Worms were treated with UA (25 µM) from L1 stage till the completion of the assay. The mean lifespan was calculated as the average number of days worms survived in each test concentration,2024-06-20 17:07:48
1785,Ursolic  acid,Caenorhabditis elegans,N2,25 µM,,,31.3,S,,NA,Unknown,,NA,No,28673026,,2024-06-20 17:07:42
1851,Ursolic  acid,Drosophila melanogaster,w1118,50 µmol/L,,,12.78,S,,NA,Unknown,,NA,No,30496629,,2024-06-20 17:07:35
3527,Tetramethylpyrazine,Drosophila melanogaster,Canton-S,20 μM,,,5.61,NS,,NA,Female,,NA,No,33008901,,2024-06-20 17:05:02
3528,Tetramethylpyrazine,Drosophila melanogaster,Canton-S,200 μM,,,5.67,S,,NA,Male,,NA,No,33008901,,2024-06-20 17:04:55
1976,Tetracycline HCL,Caenorhabditis elegans,N2,100 µM,,,13.7,S,,NA,Unknown,,NA,No,33008901,,2024-06-20 17:04:06
1640,Sesame extract,Caenorhabditis elegans,N2,12.5 µg/ml,,,15.59,S,3.57,NA,Unknown,,NA,No,27381188,,2024-06-20 17:00:08
1641,Sesame extract,Caenorhabditis elegans,N2,25 µg/ml,,,13.29,S,3.57,NA,Unknown,,NA,No,27381188,,2024-06-20 17:00:01
1642,Sesame extract,Caenorhabditis elegans,N2,50 µg/ml,,,5.2,S,3.57,NA,Unknown,,NA,No,27381188,,2024-06-20 16:59:54
3484,Rizatriptan Benzoate,Drosophila melanogaster,Canton-S,20 μM,,,3.93,NS,,NA,Female,,NA,No,33008901,,2024-06-20 16:56:04
3485,Rizatriptan Benzoate,Drosophila melanogaster,Canton-S,200 μM,,,2.51,NS,,NA,Male,,NA,No,33008901,,2024-06-20 16:55:58
